Date,Open,High,Low,Close,Volume,Adj Close
2018-01-04,4395,4395,4335,4370,15200,4370
2018-01-05,4370,4370,4310,4350,16700,4350
2018-01-09,4360,4360,4315,4345,12400,4345
2018-01-10,4345,4395,4335,4375,18900,4375
2018-01-11,4345,4380,4335,4380,11000,4380
2018-01-12,4370,4385,4340,4370,14600,4370
2018-01-15,4370,4400,4355,4370,8900,4370
2018-01-16,4355,4370,4330,4370,11100,4370
2018-01-17,4365,4385,4335,4385,13600,4385
2018-01-18,4385,4390,4345,4390,19700,4390
2018-01-19,4395,4435,4370,4410,18800,4410
2018-01-22,4410,4420,4385,4420,11100,4420
2018-01-23,4430,4445,4405,4420,8500,4420
2018-01-24,4420,4435,4390,4405,10800,4405
2018-01-25,4405,4405,4365,4390,9300,4390
2018-01-26,4390,4390,4355,4360,9600,4360
2018-01-29,4360,4380,4335,4360,8300,4360
2018-01-30,4360,4365,4310,4315,18700,4315
2018-01-31,4300,4340,4240,4240,17000,4240
2018-02-01,4255,4390,4255,4385,15300,4385
2018-02-02,4355,4415,4355,4410,12600,4410
2018-02-05,4360,4370,4320,4340,14800,4340
2018-02-06,4235,4250,4050,4150,35200,4150
2018-02-07,4200,4325,4155,4310,38900,4310
2018-02-08,4340,4425,4300,4395,27700,4395
2018-02-09,4280,4290,4230,4285,20200,4285
2018-02-13,4340,4370,4220,4235,19600,4235
2018-02-14,4205,4220,4055,4080,35200,4080
2018-02-15,4105,4175,4090,4170,24500,4170
2018-02-16,4195,4235,4175,4195,9800,4195
2018-02-19,4195,4285,4195,4285,7300,4285
2018-02-20,4280,4340,4270,4330,6800,4330
2018-02-21,4315,4355,4285,4295,11500,4295
2018-02-22,4295,4300,4250,4290,10400,4290
2018-02-23,4260,4365,4260,4365,11300,4365
2018-02-26,4385,4390,4355,4375,4700,4375
2018-02-27,4430,4605,4420,4595,37100,4595
2018-02-28,4530,4545,4315,4405,88400,4405
2018-03-01,4385,4385,4265,4280,28800,4280
2018-03-02,4250,4385,4250,4340,29400,4340
2018-03-05,4325,4330,4235,4265,10600,4255
2018-03-06,4275,4300,4195,4200,16600,4200
2018-03-07,4205,4250,4180,4220,16800,4220
2018-03-08,4250,4260,4220,4245,6100,4245
2018-03-09,4255,4300,4205,4235,24900,4235
2018-03-12,4245,4330,4245,4320,17600,4320
2018-03-13,4320,4375,4315,4370,11900,4370
2018-03-14,4335,4370,4295,4350,9500,4350
2018-03-15,4335,4355,4290,4340,13900,4340
2018-03-16,4335,4340,4180,4180,51500,4180
2018-03-19,4210,4255,4190,4245,20100,4245
2018-03-20,4245,4265,4225,4245,7500,4245
2018-03-22,4270,4270,4205,4250,16900,4250
2018-03-23,4160,4195,4100,4150,35800,4150
2018-03-26,4205,4310,4155,4305,40500,4305
2018-03-27,4375,4520,4360,4510,60300,4510
2018-03-28,4390,4440,4295,4340,36600,4340
2018-03-29,4390,4400,4285,4360,20100,4360
2018-03-30,4395,4395,4270,4295,14200,4295
2018-04-02,4305,4305,4190,4200,21300,4200
2018-04-03,4185,4335,4175,4300,20100,4300
2018-04-04,4320,4430,4320,4420,25900,4420
2018-04-05,4440,4475,4415,4425,18700,4425
2018-04-06,4370,4390,4330,4340,14300,4340
2018-04-09,4340,4445,4300,4440,21700,4440
2018-04-10,4440,4460,4420,4435,12400,4435
2018-04-11,4415,4435,4325,4405,16700,4405
2018-04-12,4405,4405,4315,4330,10200,4330
2018-04-13,4330,4355,4310,4340,14000,4340
2018-04-16,4360,4420,4340,4405,13900,4405
2018-04-17,4365,4390,4345,4360,9300,4360
2018-04-18,4355,4420,4350,4400,10100,4400
2018-04-19,4395,4435,4390,4420,13000,4420
2018-04-20,4425,4435,4360,4415,11900,4415
2018-04-23,4405,4420,4380,4420,5400,4420
2018-04-24,4430,4470,4400,4470,10200,4470
2018-04-25,4475,4495,4445,4490,9300,4490
2018-04-26,4465,4480,4425,4435,16500,4435
2018-04-27,4455,4555,4455,4550,23900,4550
2018-05-01,4485,4505,4445,4485,9100,4485
2018-05-02,4495,4505,4435,4490,10500,4490
2018-05-07,4470,4510,4450,4500,10700,4500
2018-05-08,4495,4530,4460,4520,18800,4520
2018-05-09,4520,4545,4470,4495,12800,4495
2018-05-10,4495,4505,4460,4490,6300,4490
2018-05-11,4490,4575,4480,4550,24800,4550
2018-05-14,4530,4550,4505,4535,7200,4535
2018-05-15,4525,4585,4525,4575,13100,4575
2018-05-16,4575,4575,4550,4575,6800,4575
2018-05-17,4580,4640,4565,4585,18200,4585
2018-05-18,4625,4665,4575,4655,20400,4655
2018-05-21,4725,4840,4665,4690,80500,4690
2018-05-22,4760,4830,4645,4795,51800,4795
2018-05-23,4745,4835,4745,4820,20300,4820
2018-05-24,4820,4830,4775,4785,17500,4785
2018-05-25,4735,4805,4725,4790,20800,4790
2018-05-28,4795,4795,4740,4785,13500,4785
2018-05-29,4760,4785,4695,4740,10900,4740
2018-05-30,4655,4775,4650,4765,23300,4765
2018-05-31,4765,4900,4760,4895,51500,4895
2018-06-01,4850,5100,4820,5080,47500,5080
2018-06-04,5020,5170,5020,5100,32300,5100
2018-06-05,5090,5090,5020,5060,11600,5060
2018-06-06,5020,5060,5000,5040,15900,5040
2018-06-07,5060,5130,5040,5110,18500,5110
2018-06-08,5110,5160,5090,5150,28300,5150
2018-06-11,5160,5260,5160,5260,22000,5260
2018-06-12,5260,5290,5120,5140,12100,5140
2018-06-13,5120,5290,5120,5260,21300,5260
2018-06-14,5180,5260,5150,5200,10300,5200
2018-06-15,5190,5190,5130,5190,16200,5190
2018-06-18,5170,5280,5150,5270,13600,5270
2018-06-19,5230,5230,5080,5100,16200,5100
2018-06-20,5100,5150,5020,5120,24900,5120
2018-06-21,5100,5140,5040,5050,14800,5050
2018-06-22,5050,5180,4945,5180,52900,5180
2018-06-25,5120,5140,5070,5100,16400,5100
2018-06-26,5050,5120,5020,5120,14200,5120
2018-06-27,5060,5270,5060,5240,24300,5240
2018-06-28,5150,5270,5100,5180,47400,5180
2018-06-29,5200,5200,5030,5040,27600,5040
2018-07-02,5060,5100,4895,4910,21200,4910
2018-07-03,4890,4905,4790,4815,13100,4815
2018-07-04,4755,4855,4755,4770,17500,4770
